ID,READING_DATETIME,CALENDAR_KEY,EVENT_KEY,GENERAL_SUPPLY_KWH,CONTROLLED_LOAD_KWH,GROSS_GENERATION_KWH,NET_GENERATION_KWH,OTHER_KWH
10006414,2013-04-30 16:00:00,296221,0,0.048,0,0,0,0
10006414,2013-04-30 16:30:00,296224,0,0.046,0,0,0,0
10006414,2013-04-30 17:00:00,296227,0,0.055,0,0,0,0
10006414,2013-04-30 17:30:00,296230,0,0.053,0,0,0,0
10006414,2013-04-30 18:00:00,296233,0,0.053,0,0,0,0
10006414,2013-04-30 18:30:00,296236,0,0.053,0,0,0,0
10006414,2013-04-30 19:00:00,296239,0,0.056,0,0,0,0
10006414,2013-04-30 19:30:00,296242,0,0.207,0,0,0,0
10006414,2013-04-30 20:00:00,296245,0,0.231,0,0,0,0
10006414,2013-04-30 20:30:00,296248,0,0.217,0,0,0,0
10006414,2013-04-30 21:00:00,296251,0,0.188,0,0,0,0
10006414,2013-04-30 21:30:00,296254,0,0.21,0,0,0,0
10006414,2013-04-30 22:00:00,296257,0,0.182,0,0,0,0
10006414,2013-04-30 22:30:00,296260,0,0.281,0,0,0,0
10006414,2013-04-30 23:00:00,296263,0,0.266,0,0,0,0
10006414,2013-04-30 23:30:00,296266,0,0.237,0,0,0,0
10006414,2013-05-01 00:00:00,296269,0,0.269,0,0,0,0
10006414,2013-05-01 00:30:00,296272,0,0.232,0,0,0,0
10006414,2013-05-01 01:00:00,296275,0,0.243,0,0,0,0
10006414,2013-05-01 01:30:00,296278,0,0.254,0,0,0,0
10006414,2013-05-01 02:00:00,296281,0,0.205,0,0,0,0
10006414,2013-05-01 02:30:00,296284,0,0.15,0,0,0,0
10006414,2013-05-01 03:00:00,296287,0,0.116,0,0,0,0
10006414,2013-05-01 03:30:00,296290,0,0.104,0,0,0,0
10006414,2013-05-01 04:00:00,296293,0,0.066,0,0,0,0
10006414,2013-05-01 04:30:00,296296,0,0.062,0,0,0,0
10006414,2013-05-01 05:00:00,296299,0,0.059,0,0,0,0
10006414,2013-05-01 05:30:00,296302,0,0.058,0,0,0,0
10006414,2013-05-01 06:00:00,296305,0,0.116,0,0,0,0
10006414,2013-05-01 06:30:00,296308,0,0.109,0,0,0,0
